Result_ID,Result,Query_ID,Query_Natural_Language,"Worker_Assessment(Popular & answers query=1, Unpopular & answers query=2, Partially answers=3, Irrelevant=4)"
"24837, 24847, 24857, 24867, 24877, 24887",The_Lion_and_the_Mouse_(1928_film)  starring  Lionel_Barrymore The_Lion_and_the_Mouse_(1928_film)  producer  Warner_Bros. ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",1
"24837, 24847, 24857, 24867, 24877, 24887",The_Lion_and_the_Mouse_(1928_film)  starring  Lionel_Barrymore The_Lion_and_the_Mouse_(1928_film)  producer  Warner_Bros. ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",4
"24837, 24847, 24857, 24867, 24877, 24887",The_Lion_and_the_Mouse_(1928_film)  starring  Lionel_Barrymore The_Lion_and_the_Mouse_(1928_film)  producer  Warner_Bros. ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",4
"24837, 24847, 24857, 24867, 24877, 24887",The_Lion_and_the_Mouse_(1928_film)  starring  Lionel_Barrymore The_Lion_and_the_Mouse_(1928_film)  producer  Warner_Bros. ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",3
"24837, 24847, 24857, 24867, 24877, 24887",The_Lion_and_the_Mouse_(1928_film)  starring  Lionel_Barrymore The_Lion_and_the_Mouse_(1928_film)  producer  Warner_Bros. ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",4
"24837, 24847, 24857, 24867, 24877, 24887",The_Lion_and_the_Mouse_(1928_film)  starring  Lionel_Barrymore The_Lion_and_the_Mouse_(1928_film)  producer  Warner_Bros. ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",3
"25200, 25211, 25222, 25232, 25243, 25254, 25265, 25276, 25288",G.E.M._(singer)  genre  Contemporary_R&B G.E.M._(singer)  award  2008_Jade_Solid_Gold_Best_Ten_Music_Awards_Presentation ,243,"Give me the name of a national-book-award-winning author, who writes thriller novels ?  ",4
"25200, 25211, 25222, 25232, 25243, 25254, 25265, 25276, 25288",G.E.M._(singer)  genre  Contemporary_R&B G.E.M._(singer)  award  2008_Jade_Solid_Gold_Best_Ten_Music_Awards_Presentation ,243,"Give me the name of a national-book-award-winning author, who writes thriller novels ?  ",4
"25200, 25211, 25222, 25232, 25243, 25254, 25265, 25276, 25288",G.E.M._(singer)  genre  Contemporary_R&B G.E.M._(singer)  award  2008_Jade_Solid_Gold_Best_Ten_Music_Awards_Presentation ,243,"Give me the name of a national-book-award-winning author, who writes thriller novels ?  ",4
"25200, 25211, 25222, 25232, 25243, 25254, 25265, 25276, 25288",G.E.M._(singer)  genre  Contemporary_R&B G.E.M._(singer)  award  2008_Jade_Solid_Gold_Best_Ten_Music_Awards_Presentation ,243,"Give me the name of a national-book-award-winning author, who writes thriller novels ?  ",4
"25200, 25211, 25222, 25232, 25243, 25254, 25265, 25276, 25288",G.E.M._(singer)  genre  Contemporary_R&B G.E.M._(singer)  award  2008_Jade_Solid_Gold_Best_Ten_Music_Awards_Presentation ,243,"Give me the name of a national-book-award-winning author, who writes thriller novels ?  ",4
25008,Cast_a_Giant_Shadow  starring  Frank_Sinatra Cast_a_Giant_Shadow  producer  Melville_Shavelson ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",2
25008,Cast_a_Giant_Shadow  starring  Frank_Sinatra Cast_a_Giant_Shadow  producer  Melville_Shavelson ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",1
25008,Cast_a_Giant_Shadow  starring  Frank_Sinatra Cast_a_Giant_Shadow  producer  Melville_Shavelson ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",1
25008,Cast_a_Giant_Shadow  starring  Frank_Sinatra Cast_a_Giant_Shadow  producer  Melville_Shavelson ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",1
25008,Cast_a_Giant_Shadow  starring  Frank_Sinatra Cast_a_Giant_Shadow  producer  Melville_Shavelson ,242,"Give me the name of a movie with Frank Sinatra as its star, and the name of its producer ?",1
"23293, 23323, 23333, 23343, 23353, 23363, 23373, 23383, 23425, 23453, 23415, 23434, 23444, 23463, 23473, 23561",New_York_Stories  starring  Woody_Allen New_York_Stories  writer  Woody_Allen ,251,Give me the name of a movie starred by Woody Allen and the name of the movie's writer ?,1
"23293, 23323, 23333, 23343, 23353, 23363, 23373, 23383, 23425, 23453, 23415, 23434, 23444, 23463, 23473, 23561",New_York_Stories  starring  Woody_Allen New_York_Stories  writer  Woody_Allen ,251,Give me the name of a movie starred by Woody Allen and the name of the movie's writer ?,1
"23293, 23323, 23333, 23343, 23353, 23363, 23373, 23383, 23425, 23453, 23415, 23434, 23444, 23463, 23473, 23561",New_York_Stories  starring  Woody_Allen New_York_Stories  writer  Woody_Allen ,251,Give me the name of a movie starred by Woody Allen and the name of the movie's writer ?,1
"23293, 23323, 23333, 23343, 23353, 23363, 23373, 23383, 23425, 23453, 23415, 23434, 23444, 23463, 23473, 23561",New_York_Stories  starring  Woody_Allen New_York_Stories  writer  Woody_Allen ,251,Give me the name of a movie starred by Woody Allen and the name of the movie's writer ?,1
"23293, 23323, 23333, 23343, 23353, 23363, 23373, 23383, 23425, 23453, 23415, 23434, 23444, 23463, 23473, 23561",New_York_Stories  starring  Woody_Allen New_York_Stories  writer  Woody_Allen ,251,Give me the name of a movie starred by Woody Allen and the name of the movie's writer ?,1
"24388, 24398",Casting_By  starring  Woody_Allen Casting_By  runtime  5340.0 htt//www.w3.org/2001/XMLSchema#double ,246,Give me the name of a movie that Woody Allen had starred in and Dick Hyman had worked in ? ,3
"24388, 24398",Casting_By  starring  Woody_Allen Casting_By  runtime  5340.0 htt//www.w3.org/2001/XMLSchema#double ,246,Give me the name of a movie that Woody Allen had starred in and Dick Hyman had worked in ? ,3
"24388, 24398",Casting_By  starring  Woody_Allen Casting_By  runtime  5340.0 htt//www.w3.org/2001/XMLSchema#double ,246,Give me the name of a movie that Woody Allen had starred in and Dick Hyman had worked in ? ,3
"24388, 24398",Casting_By  starring  Woody_Allen Casting_By  runtime  5340.0 htt//www.w3.org/2001/XMLSchema#double ,246,Give me the name of a movie that Woody Allen had starred in and Dick Hyman had worked in ? ,3
