Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,the same list answer the question
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,it are the same booth
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same list answer the question
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,are the same list
27,List of Mathmaticians ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
27,List of Mathmaticians ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better than y
27,List of Mathmaticians ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,are the same list
28,List of universities ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
28,List of universities ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same are equally
28,List of universities ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same
29,List of classical music composers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
29,List of classical music composers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,X
29,List of classical music composers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y has more various composer.
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x is more various than y.
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x is the better than y
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats answers
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,different persons
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better than y
32,List of award-winning spielberg movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
32,List of award-winning spielberg movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
32,List of award-winning spielberg movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y gave right answer
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same are the booth
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,Has a more varied list
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x has more various results
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,"x has 10 different people, y has 9."
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better
37,List of softwares ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
37,List of softwares ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
37,List of softwares ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,they all have got 10 different softwares.
38,List of Philosophers ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
38,List of Philosophers ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
38,List of Philosophers ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same
39,List of people interested in History ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
