Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Y has more known universities than X
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,All American
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both lists have both famous and not-so-famous universities
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,this lis is more precise
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Y are more popular
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Everything OK on both lists.
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,same
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,same quality answers
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,more doctoral students
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,y is better
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,list Y also other films than gunfights and battles
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,they are classical composers
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Both list contain some composers as requested
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,same
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,GUNFIGHTS AND BATTLES
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,list y have repeats
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Because both are corect
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Everything by the rules.
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,more famous people
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,X partially answered the question; Y is all accurate
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,no spielberg
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Not sure there are Spilberg's movies.
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,Y is a list of Spielberg award-wining movies
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,t
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,"However, X is better because the names are more popular."
